id,platform,assistive_technology,browser,input,journey,criteria,result,tool_versions,device,viewport,theme,executor,executed_at_utc,finding,defect_id,retest_evidence
AT-001,Windows,NVDA,Firefox,keyboard,Public navigation and project detail,"1.3.1; 2.1.1; 2.4.1; 2.4.3; 2.4.7; 4.1.2",NOT_RUN,,,,,,,,,
AT-002,Windows,NVDA,Chromium,keyboard,"Administrator login, validation, and page editor","1.3.1; 2.1.1; 2.4.3; 3.3.1; 3.3.3; 4.1.2; 4.1.3",NOT_RUN,,,,,,,,,
AT-003,macOS,VoiceOver,Safari,keyboard,"Public navigation, blog article, and contact form","1.3.1; 2.1.1; 2.4.1; 2.4.3; 2.4.7; 3.3.2; 4.1.2",NOT_RUN,,,,,,,,,
AT-004,iOS,VoiceOver,Safari,touch,"Public navigation, project detail, and contact form","1.3.1; 1.4.10; 2.5.8; 3.2.3; 3.3.2; 4.1.2",NOT_RUN,,,,,,,,,
AT-005,Android,TalkBack,Chrome,touch,"Public navigation, project detail, and contact form","1.3.1; 1.4.10; 2.5.8; 3.2.3; 3.3.2; 4.1.2",NOT_RUN,,,,,,,,,
AT-006,Windows,High Contrast,Chromium,keyboard,"Public and administrator controls, focus, and status","1.4.1; 1.4.3; 1.4.11; 2.4.7; 2.4.11",NOT_RUN,,,,,,,,,
AT-007,Windows,None,Chromium,keyboard,"Page-block reorder, media selection, token rotation, and destructive confirmations","2.1.1; 2.1.2; 2.4.3; 2.4.7; 2.5.7; 3.3.6",NOT_RUN,,,,,,,,,
AT-008,Desktop,None,Chromium,keyboard,"400 percent zoom and 320 CSS-pixel reflow on public and administrator journeys","1.4.4; 1.4.10; 1.4.12; 2.4.11",NOT_RUN,,,,,,,,,
AT-009,iOS,Voice Control,Safari,voice,"Public navigation and contact submission","2.1.1; 2.5.3; 2.5.8; 3.3.2",NOT_RUN,,,,,,,,,
AT-010,iOS,Switch Control,Safari,switch,"Public navigation and contact submission","2.1.1; 2.1.2; 2.4.3; 2.5.8",NOT_RUN,,,,,,,,,
AT-011,Android,Switch Access,Chrome,switch,"Public navigation and contact submission","2.1.1; 2.1.2; 2.4.3; 2.5.8",NOT_RUN,,,,,,,,,
AT-012,Physical mobile,None,Safari or Chrome,touch,"Portrait and landscape public navigation, content, and forms","1.3.4; 1.4.10; 2.5.7; 2.5.8",NOT_RUN,,,,,,,,,
AT-013,Content review,None,Any,review,"Link purpose, alternative text, reading order, instructions, and error recovery","1.1.1; 1.3.2; 2.4.4; 3.3.2; 3.3.3",NOT_RUN,,,,,,,,,
